Coding_Interest,Mathematics_Interest,Analytical_Thinking,Problem_Solving,Creativity,Communication_Skills,Leadership,Attention_To_Detail,Research_Interest,Business_Interest,Design_Interest,Learning_New_Technology,Teamwork,Independent_Work,Risk_Taking,Career
40,27,60,55,89,72,56,79,72,40,86,71,67,75,61,UI UX Designer
55,49,79,70,41,75,65,82,60,81,37,70,79,65,53,Business Analyst
43,61,86,65,38,71,61,70,67,72,55,73,85,59,49,Data Analyst
35,42,49,65,84,69,54,71,42,62,94,64,60,66,59,UI UX Designer
84,55,59,74,56,63,67,73,58,48,35,78,62,68,44,Software Engineer
73,63,89,76,54,69,51,94,70,21,49,79,67,67,56,Cybersecurity Analyst
32,44,67,73,77,89,74,62,61,80,55,49,74,51,37,Product Manager
46,64,88,69,40,77,67,80,57,94,32,61,70,70,37,Business Analyst
60,59,64,66,44,68,64,82,58,32,38,74,68,70,60,Cloud DevOps Engineer
53,50,74,72,74,88,85,53,79,71,57,55,85,56,63,Product Manager
81,88,78,75,67,62,52,80,84,45,40,70,50,87,49,AI Researcher
84,57,73,78,55,59,49,67,54,43,48,76,77,75,67,Cloud DevOps Engineer
80,47,70,83,62,48,66,68,56,26,53,85,66,68,61,Cloud DevOps Engineer
77,76,85,80,62,59,48,71,68,48,35,84,59,66,67,Machine Learning Engineer
94,92,74,75,58,65,52,74,84,41,38,96,60,57,51,Machine Learning Engineer
69,68,76,72,38,80,53,70,57,69,42,60,54,67,42,Data Analyst
54,67,90,86,54,88,67,94,72,81,37,36,77,67,59,Business Analyst
74,54,72,70,64,79,83,68,64,82,67,65,79,46,51,Product Manager
39,76,79,69,56,76,64,72,62,73,54,55,67,52,41,Business Analyst
40,62,78,70,73,81,57,79,69,75,33,64,72,54,63,Business Analyst
56,62,65,70,83,86,84,76,55,82,66,76,65,48,56,Product Manager
59,71,71,74,52,52,60,87,61,52,36,69,58,83,66,Cybersecurity Analyst
90,89,82,89,56,60,46,67,86,28,48,82,55,70,43,Machine Learning Engineer
54,47,44,71,93,81,43,75,63,43,93,65,60,58,67,UI UX Designer
89,55,56,68,71,54,78,60,62,63,65,94,76,74,58,Software Engineer
73,70,76,89,74,50,44,54,58,53,55,77,62,66,44,Software Engineer
80,59,82,99,48,64,57,76,69,66,47,100,73,57,73,Cloud DevOps Engineer
75,81,81,73,49,52,56,65,57,59,42,83,65,55,33,Data Scientist
59,52,71,87,57,89,86,95,50,78,66,63,79,65,63,Product Manager
74,69,95,60,63,40,70,88,56,53,33,74,60,92,78,Cybersecurity Analyst
46,63,82,72,46,73,58,70,62,81,44,77,79,69,57,Business Analyst
84,63,84,83,58,46,39,68,39,58,43,100,86,63,51,Software Engineer
50,59,79,58,57,76,50,91,65,82,41,67,63,55,42,Business Analyst
84,91,88,74,79,69,54,77,90,36,43,72,56,83,64,AI Researcher
43,47,86,69,54,72,81,64,62,84,41,55,69,63,49,Business Analyst
57,66,80,78,60,73,58,81,65,62,45,60,61,56,53,Data Analyst
81,89,81,83,76,49,68,72,60,46,49,84,49,67,49,Machine Learning Engineer
40,47,52,60,91,82,59,85,55,42,80,66,71,62,47,UI UX Designer
90,83,95,97,58,76,65,68,59,46,34,87,63,69,63,Machine Learning Engineer
56,45,77,69,68,85,50,66,56,80,34,64,66,63,52,Business Analyst
77,98,87,89,44,66,57,72,99,37,24,84,42,83,73,AI Researcher
67,86,91,80,69,60,51,70,94,29,36,87,48,71,39,AI Researcher
55,63,74,88,70,91,80,57,66,81,66,68,76,66,57,Product Manager
63,64,72,66,49,56,45,87,73,61,53,45,71,55,51,Data Analyst
87,53,76,79,48,67,68,71,59,41,50,91,75,64,72,Cloud DevOps Engineer
48,48,54,90,92,68,45,76,47,66,92,64,77,59,43,UI UX Designer
42,68,74,67,61,77,86,79,62,85,21,71,76,57,58,Business Analyst
54,73,85,67,51,86,43,66,75,84,37,49,79,59,50,Business Analyst
55,63,69,52,72,98,79,52,66,94,63,81,88,62,60,Product Manager
89,94,79,99,46,57,45,79,57,34,39,95,64,56,46,Machine Learning Engineer
68,68,82,79,53,89,38,78,59,69,58,62,52,70,56,Data Analyst
66,58,80,75,33,49,55,85,79,66,53,60,68,77,27,Data Analyst
82,95,69,93,58,54,52,78,86,51,32,86,78,80,67,Machine Learning Engineer
84,73,74,76,60,71,42,66,53,60,30,74,68,79,51,Software Engineer
75,79,80,83,57,52,80,66,60,47,29,79,65,72,51,Data Scientist
94,87,84,87,57,50,49,80,71,57,47,84,74,65,73,Machine Learning Engineer
31,51,86,73,69,91,85,58,60,74,60,57,88,50,58,Product Manager
69,91,78,89,71,53,62,59,92,30,33,74,67,78,59,AI Researcher
80,62,76,82,77,63,59,60,58,69,49,80,78,53,48,Cloud DevOps Engineer
80,71,92,68,81,58,53,53,78,57,41,67,53,78,55,Data Scientist
77,63,61,72,65,65,63,66,58,27,48,97,69,57,62,Cloud DevOps Engineer
38,43,56,67,93,64,53,72,60,55,95,71,72,52,44,UI UX Designer
71,64,79,78,59,57,46,79,44,43,52,78,60,75,71,Cybersecurity Analyst
79,87,76,96,62,68,37,89,68,65,32,67,69,77,42,Data Scientist
78,60,77,71,59,57,72,74,52,51,32,95,91,71,74,Cloud DevOps Engineer
79,73,75,89,47,49,60,76,78,56,36,84,69,56,37,Machine Learning Engineer
88,79,81,74,59,49,51,83,73,53,25,75,64,69,53,Data Scientist
58,35,74,83,90,72,42,66,61,63,87,85,63,67,57,UI UX Designer
91,45,78,74,50,55,67,68,55,51,38,70,74,73,43,Cloud DevOps Engineer
94,82,79,77,56,64,51,82,66,53,29,87,69,66,64,Machine Learning Engineer
57,36,48,66,85,83,50,73,45,52,84,69,73,58,65,UI UX Designer
41,65,71,67,43,77,53,73,68,52,48,55,62,67,53,Data Analyst
93,90,73,81,60,50,64,53,69,43,14,78,68,68,74,Machine Learning Engineer
50,60,68,62,72,85,65,79,64,83,54,69,85,59,75,Product Manager
74,60,83,86,58,56,32,55,79,35,47,86,54,67,61,Software Engineer
92,89,92,91,70,62,42,73,88,45,25,74,59,77,51,AI Researcher
73,91,81,79,67,51,55,80,90,56,45,78,52,94,53,AI Researcher
90,83,80,87,44,58,62,86,74,48,60,93,56,62,68,Machine Learning Engineer
72,80,85,95,61,67,42,77,74,56,41,80,50,47,53,Data Scientist
58,83,66,66,69,94,75,81,47,81,60,57,78,63,78,Product Manager
79,78,62,85,64,57,55,54,69,46,40,86,59,52,36,Software Engineer
82,78,75,90,75,66,44,72,88,32,40,95,51,91,51,AI Researcher
77,96,92,88,51,71,56,68,87,48,15,77,49,77,55,AI Researcher
67,41,79,83,37,49,53,84,70,44,49,69,49,73,69,Cybersecurity Analyst
94,84,83,94,60,57,52,73,85,51,35,92,73,56,73,Machine Learning Engineer
74,53,69,71,52,72,48,81,63,74,25,59,67,54,65,Data Analyst
40,70,72,72,50,86,81,53,61,79,56,65,79,57,64,Product Manager
66,73,78,75,68,51,46,54,86,68,39,70,66,81,59,Data Scientist
43,59,74,82,50,51,52,75,66,26,48,77,50,85,63,Cybersecurity Analyst
74,93,84,82,64,52,50,71,87,31,37,83,65,72,76,AI Researcher
77,84,86,81,71,72,53,71,85,62,46,81,54,93,58,AI Researcher
74,62,69,76,60,61,61,58,51,57,29,93,86,63,88,Cloud DevOps Engineer
50,58,80,74,50,74,70,78,45,72,62,66,55,61,37,Data Analyst
62,53,90,72,63,90,72,72,56,100,37,63,76,63,73,Business Analyst
67,75,79,85,59,70,49,71,50,36,44,92,75,63,47,Cloud DevOps Engineer
63,91,79,70,56,60,55,72,71,62,36,71,68,62,49,Data Scientist
69,81,81,80,53,72,66,69,67,50,40,76,53,61,60,Data Scientist
66,87,62,78,55,63,60,73,54,46,48,76,79,69,59,Software Engineer
86,84,70,81,62,55,35,95,77,49,30,88,61,51,47,Machine Learning Engineer
81,62,74,72,60,69,58,75,57,55,39,86,83,61,46,Cloud DevOps Engineer
56,71,82,77,59,89,49,75,62,58,60,59,60,58,55,Data Analyst
64,70,68,69,47,80,54,69,54,38,33,75,86,66,83,Cloud DevOps Engineer
83,96,70,89,57,75,53,69,73,48,30,81,46,60,59,Machine Learning Engineer
77,52,77,84,56,55,55,70,64,34,35,81,77,53,56,Cloud DevOps Engineer
94,83,71,75,45,62,65,67,80,33,42,90,49,66,65,Machine Learning Engineer
68,81,75,83,55,71,60,66,77,49,28,65,64,71,56,Data Scientist
55,56,72,77,60,77,78,62,57,91,66,70,84,51,57,Product Manager
77,62,81,69,74,68,63,61,59,34,40,82,77,55,48,Software Engineer
68,65,80,66,55,49,56,88,54,55,59,79,57,78,60,Cybersecurity Analyst
58,57,76,83,59,58,48,87,64,63,43,65,54,80,74,Cybersecurity Analyst
54,74,79,69,63,84,58,77,55,66,48,53,72,63,31,Data Analyst
50,59,86,78,46,81,69,71,65,81,23,48,80,56,54,Business Analyst
78,57,71,76,29,81,63,62,60,36,62,93,66,74,54,Software Engineer
64,65,75,69,54,89,83,58,50,87,42,68,88,60,61,Product Manager
58,34,62,65,83,72,59,68,62,26,85,61,71,73,56,UI UX Designer
44,22,54,67,87,75,60,73,49,63,83,60,60,72,68,UI UX Designer
49,59,66,75,56,84,83,75,71,92,50,52,59,61,48,Business Analyst
80,87,84,71,59,58,46,68,95,41,58,80,64,81,53,AI Researcher
78,50,66,78,34,54,35,93,58,62,48,67,48,79,61,Cybersecurity Analyst
37,56,54,55,60,81,92,65,72,79,64,58,76,37,68,Product Manager
55,29,67,66,85,61,55,68,69,60,98,68,64,62,51,UI UX Designer
51,49,75,67,82,89,87,60,82,79,51,71,83,47,85,Product Manager
61,53,80,75,65,76,45,90,57,54,43,75,66,62,64,Data Analyst
74,70,75,81,54,72,49,77,63,60,63,51,79,61,51,Data Analyst
82,82,95,75,68,74,40,80,85,65,21,66,45,74,65,AI Researcher
60,92,94,80,73,57,33,63,92,40,42,72,57,64,56,Data Scientist
57,55,62,79,52,60,66,83,82,43,24,88,91,72,74,Cloud DevOps Engineer
48,26,51,64,95,85,45,65,65,74,96,58,94,71,47,UI UX Designer
85,89,81,82,81,63,64,71,91,50,51,88,45,90,77,AI Researcher
42,72,90,74,56,73,75,79,55,77,50,49,67,49,42,Business Analyst
74,68,76,74,53,50,54,57,81,77,29,70,39,65,61,Data Scientist
53,57,76,94,42,59,34,82,68,50,43,75,63,80,53,Cybersecurity Analyst
79,88,81,74,66,56,57,76,90,52,25,92,35,92,62,AI Researcher
52,71,89,77,68,74,40,92,55,73,61,66,52,54,61,Data Analyst
66,45,99,84,49,52,55,72,64,69,36,72,72,71,48,Data Analyst
48,71,93,73,72,85,91,72,50,78,48,89,86,49,59,Product Manager
79,88,83,84,57,68,52,62,89,36,11,77,64,81,67,AI Researcher
91,61,66,67,42,62,77,65,71,49,29,81,68,57,49,Cloud DevOps Engineer
83,75,66,74,72,58,55,76,75,47,49,87,75,74,52,Machine Learning Engineer
44,43,73,66,92,64,52,76,57,48,91,69,79,45,66,UI UX Designer
54,58,77,61,51,55,54,82,61,60,76,74,54,64,42,Data Analyst
58,59,83,75,53,78,70,86,73,74,34,55,73,58,64,Business Analyst
92,92,79,83,63,63,62,62,75,37,40,85,62,61,43,Machine Learning Engineer
34,56,72,75,76,91,71,64,78,83,50,64,79,43,73,Product Manager
45,53,69,73,91,85,76,55,71,76,65,59,73,61,59,Product Manager
79,95,84,85,73,50,67,68,87,43,46,83,55,84,71,AI Researcher
88,61,73,81,60,62,63,62,51,43,44,85,77,71,62,Cloud DevOps Engineer
87,93,85,85,72,60,40,77,95,48,39,83,53,89,73,AI Researcher
67,71,78,66,31,71,51,90,63,77,38,72,60,69,33,Data Analyst
50,66,78,81,65,78,55,80,49,82,37,68,75,57,58,Data Analyst
68,71,81,89,60,70,67,65,77,77,56,59,65,68,63,Data Scientist
66,60,75,68,68,74,48,81,55,42,50,84,93,57,41,Cloud DevOps Engineer
87,87,62,93,51,61,48,62,66,39,50,85,57,60,70,Machine Learning Engineer
67,60,90,63,45,48,34,81,71,39,35,58,51,77,68,Cybersecurity Analyst
71,60,84,73,66,83,62,66,51,63,51,94,78,74,58,Cloud DevOps Engineer
84,69,75,82,45,60,68,81,41,44,40,78,71,69,74,Cloud DevOps Engineer
85,98,71,77,55,57,59,76,72,47,37,81,54,77,40,Machine Learning Engineer
74,56,66,87,68,65,59,70,54,52,53,84,76,71,56,Software Engineer
51,46,85,63,62,67,58,92,49,60,44,76,59,57,53,Data Analyst
95,75,78,75,67,55,70,77,57,61,36,75,86,64,64,Cloud DevOps Engineer
85,100,84,81,70,57,65,72,90,28,36,70,58,70,70,AI Researcher
51,74,82,83,45,70,43,82,47,61,31,68,71,46,61,Data Analyst
67,77,83,84,55,65,52,80,95,55,43,76,57,98,70,AI Researcher
79,67,82,78,56,73,66,64,38,48,21,77,71,60,66,Cloud DevOps Engineer
75,62,91,81,56,64,48,71,59,40,29,81,79,61,47,Cloud DevOps Engineer
92,88,78,91,59,54,48,58,74,55,43,95,60,72,66,Machine Learning Engineer
45,46,82,68,38,81,59,82,72,71,37,53,72,66,50,Data Analyst
41,55,86,64,60,80,63,77,52,77,44,49,82,51,60,Business Analyst
87,62,70,86,62,63,49,68,59,53,40,77,56,65,44,Software Engineer
72,78,90,74,70,67,59,60,96,46,45,93,62,74,67,AI Researcher
91,87,82,82,69,50,50,75,90,41,30,81,55,82,49,AI Researcher
57,52,64,65,61,85,71,54,61,81,60,65,100,56,62,Product Manager
79,71,61,82,49,72,61,73,59,63,43,79,79,62,60,Cloud DevOps Engineer
81,82,86,78,70,72,47,81,91,38,38,88,53,91,59,AI Researcher
66,47,68,82,84,77,75,64,40,82,70,52,83,49,80,Product Manager
88,66,82,82,48,61,62,68,67,50,28,82,73,69,39,Machine Learning Engineer
65,39,46,65,79,91,58,81,65,41,89,66,85,55,48,UI UX Designer
76,73,74,76,48,40,55,51,61,45,52,76,62,72,55,Software Engineer
78,94,90,82,48,38,54,66,87,40,57,79,61,86,36,AI Researcher
68,54,64,75,46,66,57,78,58,41,37,80,64,80,60,Cybersecurity Analyst
56,57,83,84,66,81,63,76,57,85,38,57,64,54,45,Business Analyst
85,69,95,78,60,52,44,65,70,53,38,87,52,69,57,Data Scientist
63,66,75,67,50,66,48,72,65,34,39,84,65,91,57,Cybersecurity Analyst
85,99,87,72,55,65,57,76,82,55,36,75,79,77,60,Data Scientist
65,57,71,81,37,56,75,78,77,46,33,61,59,90,58,Cybersecurity Analyst
42,58,69,79,53,81,65,76,40,85,42,64,63,62,65,Business Analyst
50,39,65,56,90,69,48,65,59,48,86,51,53,63,58,UI UX Designer
83,61,78,74,69,64,66,80,68,54,47,96,82,58,64,Cloud DevOps Engineer
84,50,70,75,48,57,70,71,54,54,59,85,66,59,59,Software Engineer
73,84,83,84,57,64,37,64,73,51,33,68,48,73,54,Data Scientist
87,90,91,77,54,57,39,78,80,37,35,70,52,82,73,AI Researcher
75,58,57,82,41,66,68,66,69,43,45,75,86,73,63,Cloud DevOps Engineer
66,61,74,74,44,65,65,88,61,54,47,72,62,74,61,Data Analyst
78,86,75,84,51,50,51,62,84,63,23,65,49,64,60,Data Scientist
63,65,65,92,68,41,44,88,53,44,42,71,63,75,42,Cybersecurity Analyst
35,52,78,79,65,91,88,59,63,87,52,80,76,56,54,Product Manager
60,47,63,66,87,75,47,74,47,53,85,65,73,70,63,UI UX Designer
53,52,82,71,48,74,44,74,61,68,33,70,49,57,45,Data Analyst
66,88,89,83,53,61,30,72,81,56,12,62,55,71,58,Data Scientist
71,61,88,76,50,64,39,91,53,51,32,76,66,81,51,Cybersecurity Analyst
96,66,64,75,47,52,48,52,60,57,36,90,70,74,45,Software Engineer
65,56,80,63,55,73,57,72,57,100,53,70,71,59,48,Business Analyst
55,52,85,68,51,94,53,52,69,79,39,85,78,57,45,Business Analyst
74,48,75,83,58,55,53,72,43,48,54,83,66,60,52,Cloud DevOps Engineer
71,88,77,82,49,57,64,68,83,40,47,86,65,68,64,Machine Learning Engineer
93,63,70,67,50,70,68,54,54,48,48,72,69,61,52,Software Engineer
46,42,64,81,84,86,83,72,61,90,61,66,77,46,37,Product Manager
69,71,83,68,47,60,48,67,53,62,51,62,72,74,59,Data Analyst
70,82,80,67,51,75,66,62,83,43,56,74,71,53,62,Data Scientist
40,33,60,65,80,50,47,62,60,50,85,60,84,72,50,UI UX Designer
43,43,63,60,87,61,47,63,59,46,85,81,66,68,49,UI UX Designer
44,43,65,52,85,45,40,81,67,37,88,65,78,79,57,UI UX Designer
35,30,54,57,83,50,53,77,78,53,88,54,67,69,50,UI UX Designer
68,61,62,84,44,54,62,91,61,41,32,62,52,69,68,Cybersecurity Analyst
63,67,70,81,40,78,49,76,59,48,38,80,88,65,45,Cloud DevOps Engineer
53,43,65,70,76,71,36,75,54,58,91,69,66,74,39,UI UX Designer
26,33,64,78,88,60,43,68,54,59,96,63,70,58,38,UI UX Designer
97,67,66,68,40,44,55,70,44,57,40,79,80,73,49,Software Engineer
60,62,89,77,45,58,49,93,70,55,33,73,55,67,42,Data Analyst
39,41,69,67,96,67,69,69,70,25,84,68,64,64,55,UI UX Designer
81,83,85,85,68,56,44,78,92,45,39,81,63,84,61,AI Researcher
45,74,80,61,66,89,52,97,61,62,39,77,58,69,42,Data Analyst
76,89,90,81,64,57,47,76,81,38,43,81,68,88,64,AI Researcher
74,51,81,77,67,62,54,73,57,38,56,80,85,73,45,Cloud DevOps Engineer
95,83,62,84,58,65,70,69,68,36,42,89,57,75,63,Machine Learning Engineer
75,81,95,69,61,58,42,76,90,44,43,80,58,90,44,AI Researcher
69,71,81,85,57,50,44,87,73,73,47,63,51,96,60,Cybersecurity Analyst
85,90,82,71,59,61,47,72,77,56,26,85,76,81,67,Machine Learning Engineer
81,63,63,79,62,81,37,75,70,40,47,74,67,79,58,Software Engineer
66,48,59,82,58,62,55,85,59,50,52,68,49,72,54,Cybersecurity Analyst
56,77,76,77,49,69,50,76,60,64,47,63,72,70,37,Data Analyst
62,64,76,75,67,89,74,44,70,87,57,75,77,48,57,Product Manager
77,87,86,73,62,70,69,75,79,27,59,83,54,66,73,Machine Learning Engineer
67,60,62,75,71,88,93,63,78,85,55,87,88,50,66,Product Manager
94,88,93,75,59,39,56,68,93,37,56,92,34,86,53,AI Researcher
48,47,49,71,96,73,34,88,49,52,95,75,52,66,56,UI UX Designer
56,38,43,51,82,60,55,91,65,37,87,61,72,79,50,UI UX Designer
59,85,61,62,60,86,75,58,66,73,47,61,80,65,57,Product Manager
52,30,76,64,100,63,48,85,45,41,92,56,73,67,40,UI UX Designer
58,63,82,67,49,51,62,84,53,82,46,53,73,66,52,Data Analyst
83,89,86,86,77,67,50,74,87,49,43,75,67,90,78,AI Researcher
67,65,85,68,48,73,40,79,52,57,24,74,59,72,59,Data Analyst
78,79,89,76,64,66,42,71,96,21,51,66,49,84,66,AI Researcher
64,58,65,61,63,60,61,82,59,45,46,70,65,73,61,Cybersecurity Analyst
52,83,86,80,69,56,55,56,81,75,32,66,56,69,44,Data Scientist
60,72,73,68,62,64,46,82,61,43,21,71,74,74,57,Cybersecurity Analyst
62,66,77,75,50,81,64,83,66,77,37,57,59,56,51,Business Analyst
36,78,87,60,37,85,45,76,40,62,43,68,52,48,53,Data Analyst
48,56,54,59,96,65,54,70,43,50,96,64,55,66,47,UI UX Designer
57,68,89,66,56,63,61,83,63,58,52,81,56,59,50,Data Analyst
79,83,75,80,70,51,58,91,86,69,44,80,56,75,62,Data Scientist
68,91,86,73,71,62,52,59,70,47,42,73,76,71,28,Data Scientist
70,82,88,87,63,68,60,90,94,59,39,89,68,81,53,AI Researcher
43,42,52,66,81,64,60,72,66,46,83,76,56,60,53,UI UX Designer
86,93,83,77,77,60,50,65,84,53,46,83,70,76,51,Machine Learning Engineer
68,53,72,82,49,66,35,64,48,41,45,71,62,74,46,Software Engineer
47,65,77,80,76,83,97,66,32,80,53,72,79,66,70,Product Manager
81,65,81,80,60,64,58,70,75,51,36,78,56,76,55,Data Scientist
82,90,88,61,56,32,49,72,55,67,43,81,75,52,46,Machine Learning Engineer
83,78,79,87,65,60,66,68,78,55,33,73,75,72,55,Data Scientist
99,89,78,90,66,73,50,71,69,53,26,91,67,73,59,Machine Learning Engineer
69,72,90,69,60,53,56,65,54,53,63,76,71,53,42,Software Engineer
37,49,81,72,65,88,76,79,60,79,64,73,93,53,75,Product Manager
65,54,82,67,69,84,52,70,43,88,65,40,61,60,52,Business Analyst
41,35,47,41,77,79,52,82,53,47,98,79,76,67,60,UI UX Designer
57,50,72,80,67,86,71,64,42,78,59,72,75,59,78,Product Manager
49,58,83,72,77,82,80,74,38,82,54,77,78,60,73,Product Manager
54,61,81,81,46,78,68,59,74,84,55,70,75,38,53,Business Analyst
80,81,83,69,50,75,45,79,89,42,41,61,67,81,55,AI Researcher
63,84,80,73,70,46,46,76,88,38,31,68,49,87,56,AI Researcher
55,52,85,79,46,73,48,81,38,63,55,56,65,55,52,Data Analyst
86,87,78,84,54,49,55,67,76,52,35,79,84,63,64,Machine Learning Engineer
45,47,49,58,91,76,54,83,43,43,99,77,74,64,65,UI UX Designer
81,70,79,79,58,68,47,69,60,55,32,75,76,83,50,Cloud DevOps Engineer
81,61,60,74,58,78,47,67,60,60,70,74,61,74,59,Software Engineer
83,87,92,90,53,46,33,83,67,45,52,76,75,66,47,Machine Learning Engineer
79,55,79,60,54,49,52,74,47,36,61,74,91,63,53,Cloud DevOps Engineer
67,74,86,89,59,64,53,70,69,66,45,75,55,64,53,Data Scientist
50,32,64,75,90,82,51,73,59,35,88,62,65,67,40,UI UX Designer
65,65,76,67,47,67,55,87,60,65,46,57,57,46,41,Data Analyst
61,81,82,87,59,46,49,61,79,69,25,66,57,65,62,Data Scientist
64,62,68,67,40,70,40,88,59,63,52,71,65,55,30,Data Analyst
79,84,92,92,73,66,66,78,90,49,42,85,54,88,69,AI Researcher
64,84,89,88,68,61,47,63,66,65,40,62,55,60,55,Data Scientist
35,40,47,76,77,56,56,65,53,49,93,63,84,65,67,UI UX Designer
83,93,76,91,59,55,55,72,92,47,31,77,54,89,55,AI Researcher
73,66,80,67,61,63,70,96,62,65,55,72,58,57,35,Data Analyst
53,57,81,89,52,52,55,79,63,45,38,73,50,75,55,Cybersecurity Analyst
95,93,81,90,60,47,53,74,80,47,33,90,50,81,56,Machine Learning Engineer
80,90,88,75,51,67,37,69,97,44,41,83,60,82,51,AI Researcher
69,51,89,83,49,65,26,65,63,57,35,79,57,67,43,Software Engineer
47,58,76,61,43,83,57,77,57,73,41,79,71,64,54,Business Analyst
78,66,83,79,63,78,72,67,67,52,50,88,80,69,61,Cloud DevOps Engineer
88,60,72,74,59,61,62,79,62,65,40,71,50,84,71,Cybersecurity Analyst
86,95,81,79,63,64,63,90,94,50,55,76,66,86,66,AI Researcher
79,54,82,76,45,58,59,93,78,42,29,69,47,78,59,Cybersecurity Analyst
88,51,78,79,47,55,69,65,57,41,33,83,81,42,58,Cloud DevOps Engineer
88,91,91,88,63,60,62,88,84,67,26,74,56,83,80,AI Researcher
40,47,69,76,86,66,48,60,47,48,92,69,61,61,52,UI UX Designer
89,83,88,81,61,72,59,75,99,52,31,60,56,92,66,AI Researcher
95,84,79,83,60,58,58,82,68,45,48,77,44,70,63,Machine Learning Engineer
77,73,80,84,81,67,57,75,69,56,42,75,63,71,52,Data Scientist
64,66,78,78,67,64,68,61,85,55,49,69,72,71,48,Data Scientist
69,62,83,89,42,49,44,76,64,51,38,68,68,81,65,Cybersecurity Analyst
50,63,82,84,52,51,59,89,67,62,38,70,54,69,68,Cybersecurity Analyst
93,49,56,68,72,49,51,58,56,46,36,97,68,64,61,Cloud DevOps Engineer
79,95,79,86,73,54,47,86,70,42,57,82,66,68,51,Data Scientist
80,77,80,70,59,53,39,63,57,72,49,67,60,74,73,Software Engineer
59,57,77,92,36,71,55,86,56,84,40,65,72,60,65,Business Analyst
67,53,85,63,53,66,57,79,58,35,43,66,60,82,83,Cybersecurity Analyst
64,65,90,75,32,62,54,81,69,53,29,70,71,75,63,Cybersecurity Analyst
53,48,52,74,86,77,51,78,61,56,82,51,74,68,47,UI UX Designer
43,72,76,65,57,76,85,80,57,79,25,61,66,59,32,Business Analyst
82,61,63,80,30,69,47,69,47,50,45,95,66,74,59,Cloud DevOps Engineer
42,63,69,73,48,79,67,69,47,74,50,55,76,58,50,Business Analyst
80,61,62,83,50,61,56,74,44,48,49,75,79,59,54,Cloud DevOps Engineer
77,82,73,77,54,58,39,80,91,65,55,69,56,61,61,Data Scientist
86,61,60,78,49,73,60,60,45,50,18,80,80,55,68,Cloud DevOps Engineer
52,42,71,75,76,86,72,77,73,83,50,60,81,58,62,Product Manager
74,72,64,81,45,42,48,64,56,36,41,80,65,67,45,Software Engineer
45,42,45,86,89,74,49,68,59,51,97,84,81,49,50,UI UX Designer
29,57,73,74,78,73,80,57,49,81,65,68,77,54,73,Product Manager
43,50,48,49,88,86,64,69,63,42,92,70,76,51,42,UI UX Designer
68,47,74,75,73,90,83,70,52,83,53,54,78,58,69,Product Manager
82,79,91,80,67,40,54,67,88,26,30,77,53,88,41,AI Researcher
53,59,77,67,48,64,54,85,52,76,35,47,68,55,51,Data Analyst
80,70,80,84,60,64,76,64,62,59,56,87,71,55,68,Software Engineer
43,52,41,77,99,79,31,81,73,63,83,74,84,65,40,UI UX Designer
44,59,87,85,69,84,74,63,56,86,44,63,80,65,41,Business Analyst
82,41,83,80,57,50,48,67,65,29,47,81,76,67,61,Cloud DevOps Engineer
43,54,64,68,74,91,84,58,63,87,38,66,81,65,68,Product Manager
48,55,77,73,46,88,55,58,71,79,46,66,66,59,58,Business Analyst
83,89,76,82,55,61,50,71,70,40,32,63,70,55,30,Software Engineer
79,60,72,78,56,66,50,69,60,51,49,88,71,64,55,Cloud DevOps Engineer
34,43,52,60,85,64,44,56,59,49,86,68,81,65,68,UI UX Designer
67,62,70,88,51,63,56,90,60,77,56,52,59,71,21,Data Analyst
38,56,82,75,71,73,76,83,55,91,52,62,86,56,68,Product Manager
50,84,74,57,49,89,99,62,57,85,50,42,89,49,74,Product Manager
50,43,59,54,89,71,53,78,64,37,89,70,66,74,56,UI UX Designer
80,55,68,66,56,69,77,74,54,36,29,75,93,68,52,Cloud DevOps Engineer
78,96,82,87,61,43,42,76,100,37,36,82,50,79,61,AI Researcher
52,50,70,62,75,73,77,65,72,78,62,64,89,59,72,Product Manager
93,53,71,91,62,59,51,66,51,52,41,86,71,64,37,Cloud DevOps Engineer
86,89,86,87,50,56,59,61,58,63,45,90,52,75,61,Machine Learning Engineer
63,48,69,63,57,80,94,71,55,90,56,77,97,65,66,Product Manager
80,53,80,86,47,70,68,66,55,55,26,76,70,49,69,Cloud DevOps Engineer
42,54,66,73,61,85,80,64,78,79,39,74,89,35,59,Product Manager
73,52,77,86,52,34,47,69,45,50,45,83,66,56,64,Software Engineer
74,73,67,79,59,45,44,77,69,47,47,76,77,63,54,Software Engineer
52,62,86,64,63,84,75,74,59,83,64,64,76,54,57,Product Manager
74,67,65,77,76,53,45,86,61,37,34,83,57,71,48,Cybersecurity Analyst
46,59,73,60,59,82,77,76,60,77,53,60,80,44,58,Product Manager
65,43,78,73,56,88,75,75,54,72,73,67,88,46,48,Product Manager
79,91,82,77,74,65,55,58,96,44,37,71,49,76,40,AI Researcher
58,51,87,79,52,84,74,65,53,75,33,50,79,63,35,Business Analyst
61,52,66,82,71,81,79,58,78,82,60,71,73,66,60,Product Manager
59,66,78,72,63,71,44,76,56,66,57,50,62,63,30,Data Analyst
77,84,79,68,93,61,49,71,76,56,55,71,52,67,50,Data Scientist
73,77,81,81,60,69,51,67,77,48,38,88,54,65,51,Data Scientist
68,55,73,98,56,53,41,74,68,52,34,72,47,81,66,Cybersecurity Analyst
